업종명,업소명,소재지(도로명),소재지(지번),소재지전화
일반음식점,골목식당,부산광역시 부산진구 가야대로784번길 46 (부전동),부산광역시 부산진구 부전동 516-3 ,051-803-3850
일반음식점,우정분식,부산광역시 부산진구 동천로85번길 3 (부전동),부산광역시 부산진구 부전동 168-365 ,051-803-0303
일반음식점,대서양식당,부산광역시 부산진구 부전로96번길 26 (부전동),부산광역시 부산진구 부전동 477-16 ,051-809-0190
일반음식점,동해물회,부산광역시 부산진구 서전로 15 (부전동),부산광역시 부산진구 부전동 142-5 ,051-809-3305
일반음식점,제일횟집,"부산광역시 부산진구 서면문화로 24 (부전동,,25 (1,2,3층))","부산광역시 부산진구 부전동 398-12 ,25 (1,2,3층) ",051-805-6290
일반음식점,급행장,부산광역시 부산진구 서면문화로 4 (부전동),부산광역시 부산진구 부전동 259-27 ,051-809-2100
일반음식점,남대문,"부산광역시 부산진구 부전로96번길 35 (부전동,,130,4,144)","부산광역시 부산진구 부전동 474-45 ,130,4,144 ",051-805-9191
일반음식점,장수국밥,"부산광역시 부산진구 새싹로29번길 8 (부전동,,30)","부산광역시 부산진구 부전동 401-23 ,30 ",051-804-2277
일반음식점,일송초밥,"부산광역시 부산진구 중앙대로691번길 52, 지상1층 (부전동)",부산광역시 부산진구 부전동 520-38 지상1층 ,051-805-3300
일반음식점,용궁해물탕,부산광역시 부산진구 서면문화로5번길 10 (부전동),부산광역시 부산진구 부전동 475-17 ,051-808-4711
일반음식점,동남갈비,부산광역시 부산진구 부전로96번길 35 (부전동),부산광역시 부산진구 부전동 474-129 ,051-804-3700
일반음식점,외식촌,"부산광역시 부산진구 중앙대로691번가길 24-7, 지상1-2층 (부전동)",부산광역시 부산진구 부전동 516-9 ,051-805-5464
일반음식점,남해수산횟집,부산광역시 부산진구 서면문화로 11-1 (부전동),부산광역시 부산진구 부전동 475-4 ,051-818-9898
일반음식점,중앙숯불갈비,부산광역시 부산진구 골드테마길 65 (범천동),부산광역시 부산진구 범천동 847-32 ,051-632-2008
일반음식점,하동재첩왕갈비,"부산광역시 부산진구 중앙대로743번길 25 (부전동,(1층))",부산광역시 부산진구 부전동 262-15 (1층) ,051-808-5668
일반음식점,청담,"부산광역시 부산진구 가야대로784번길 42, 지상1층 (부전동)",부산광역시 부산진구 부전동 516-2 지상1층 ,051-807-5555
일반음식점,남강면옥,부산광역시 부산진구 신천대로65번길 68 (범천동),부산광역시 부산진구 범천동 875-1 ,051-647-4165
일반음식점,춘하추동밀면,부산광역시 부산진구 서면문화로 48-1 (부전동),부산광역시 부산진구 부전동 404-3 ,051-809-8659
